class,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_skew,green_skew,blue_skew,red_kurt,green_kurt,blue_kurt
freshapples,4.650649713010204,6.9165138711734695,2.6646205357142856,19.92954208649196,29.927654876346537,11.565915996343866,4.202917768363561,4.221764122654828,4.65947808352574,19.141945797398254,19.09506766541252,26.353354181234167
freshapples,36.94122688137755,43.24101163903061,17.52668606505102,57.61744633987792,67.42987139779136,29.06133702253412,1.0126049207992986,0.9957600704427796,1.6762313059395266,2.1850254275998893,2.1145123829602053,6.244552622784977
freshapples,62.48692602040816,20.292271205357142,16.951351243622447,76.70082639347176,29.583975257760315,26.045813710421132,0.5780703237290734,1.7164502143156222,2.1197597570295184,1.6135606360757433,6.07009037167004,8.524883624597297
freshapples,41.29737324617347,18.5855787627551,13.879504145408163,78.97262702347899,36.46436948096729,28.083030435027965,1.4877844598959569,1.7003546480803415,1.9773911595111429,3.4096975818429303,4.463847127356945,6.164806908507756
freshapples,85.6012037627551,34.70493861607143,36.74107142857143,84.01739079773992,37.78416795087438,40.62598458383563,0.07081157285450868,0.6819087443965784,0.7244456384088054,1.2070037256239197,2.482356015639469,2.4731117268171756
freshapples,65.88932955994898,22.21257174744898,18.705815529336736,82.13369228365467,31.766108240821932,28.364322104986023,0.531958213337179,1.5030706699371874,1.8875444715618899,1.4472867499189057,5.163947480861685,7.063664887016415
freshapples,89.85451211734694,39.21020009566327,41.09388950892857,93.43227494803313,44.4908891162916,46.26403897139656,0.159783134523593,0.6172166783126475,0.5903677099187582,1.1623864371265127,2.045477941698413,2.000737316354097
freshapples,73.32284359056122,35.47769850127551,38.71279097576531,84.00088678532939,43.550370223280446,46.40657876068542,0.43789693110903904,0.8336104463229919,0.6994898681349496,1.4809709750396052,2.517837361148285,2.130618931734049
freshapples,75.3690409757653,37.50384646045919,30.115174585459183,91.99003209600389,50.91062684326179,40.16439913889538,0.5523106456624108,1.125132584641162,0.9686667113691363,1.5435740513586722,3.203302440471814,2.698351790942202
freshapples,108.24802694515306,42.0986328125,41.633370535714285,96.61304200210996,43.933627682070814,43.67438743967456,-0.15618301947009008,0.6266781563064949,0.5980414744071562,1.1477744233549794,2.240453303669964,2.144651177771915
freshapples,26.907366071428573,35.59307238520408,19.302236128826532,39.27669728030565,52.21112049320174,29.8252542419895,1.018030814293367,0.9564006946490302,1.39919954492898,2.53397033195536,2.2042221074222312,4.153884182147803
freshapples,63.0309909119898,25.752391581632654,20.357202646683675,79.30788390695929,37.35023658360939,30.69396027827139,0.5968173999061065,1.477108589959313,1.8063783062532506,1.5729789866734614,4.577228501098325,6.393042234681027
freshapples,60.27333785076531,23.186722735969386,17.665935905612244,78.60605544962279,37.441184636351274,27.791461322109473,0.6466817488783972,2.0950600459743756,1.9554641167349238,1.6130183728506058,7.826093106539039,7.319504606774601
freshapples,0.941047512755102,0.925422512755102,0.4799107142857143,9.052098202887075,8.864617978801594,4.361060496339009,10.617990426458151,10.694941920117982,11.589657285871247,117.66500975965444,120.04296438600447,159.3099369736977
freshapples,44.54009885204081,53.44848134566327,18.25063775510204,64.3734968186203,76.49038133248943,28.029596544320672,0.8531482380375389,0.7935380653435531,1.6842841653774863,1.9039239428053787,1.7283216230278902,7.688107266425479
freshapples,5.431540975765306,8.616111288265307,2.8058035714285716,20.649636860187098,32.69363234111809,10.934959389706172,3.76582631714319,3.6639109968618104,4.4400943197391864,15.949516217856305,14.720437532953373,26.02139665718737
freshapples,69.66707190688776,25.505640146683675,22.327746332908163,80.34941647331217,33.770741454591686,31.36846779671717,0.38314546149359624,1.3310844541404732,1.650646991876835,1.3133797175912245,4.530424415840456,5.832498271471846
freshapples,46.674884406887756,52.519850127551024,20.65822305484694,65.76608246373358,73.86043409212898,30.765678643024174,0.7840380914858028,0.767045610458448,1.3984349654651547,1.7468815333051189,1.6923365789300038,5.289109196020766
freshapples,109.40898038903062,45.79970503826531,38.963847257653065,102.35169537175999,46.5751547305831,39.419902325559114,-0.09011767327078725,0.3963648780704195,0.4168998518045267,1.0797819792242727,1.8413155505442607,2.097817056229842
freshapples,90.79141422193878,27.233617665816325,26.677694515306122,88.77588963577635,33.105723818875084,31.36032619260543,0.10896905901882172,1.3641678807791824,1.2841744135082889,1.2703289682053494,4.723571155620467,4.841724816221963
freshapples,95.38703762755102,36.762575733418366,32.58671476403061,83.07319523339358,39.40847564800202,35.14246660189876,-0.14205524279613474,1.0874821838949964,1.20916124113897,1.2237438888270888,3.817604767976371,4.614954496903517
freshapples,71.22403140943878,28.368981186224488,22.788544323979593,97.5057069912654,41.55765869703456,34.23786259622241,0.683443795199593,1.0804985443328992,1.2649996823496308,1.5402311332128789,2.7231802565026,3.550203317486428
freshapples,53.76602359693877,27.375856983418366,20.045778858418366,86.95759167695081,45.91682095498067,35.574427563675805,1.0966593181209756,1.3132733795992715,1.7023347380968763,2.3872441432909026,3.155433815368967,4.973536308157306
freshapples,40.33862802933673,10.630839445153061,7.530911192602041,69.65430700451813,19.16354484102214,13.76168918196653,1.2486526933677822,1.552499398702002,1.6390730506098217,2.742573170799362,4.205167232133933,4.519680516888442
freshapples,0.39377391581632654,0.3946109693877551,0.3874362244897959,4.97129799050018,4.979123154421601,4.895936042074677,15.774584725245772,15.775408041635986,15.857973861860911,274.8190673188816,274.90882601363575,277.61702076342493
